class name,Date ,Duration,start,end,minimum,maximum,people,room surface area ,room height,Windows,no of win,door ,no of door,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End
,datetime,minutes,datetime,datetime,,,,m^2,m,m^2,constant,m^2,constant,humidity-indoor,humidity-Indoor,humidity-out,humidity-out,Co2,Co2,Temp-in,Temp-in,Temp-out,Temp-out,wind speed,wind speed
second elementray,1/13/2021,240,12.45,16.48,400,1851,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/14/2021,618,10,20.18,400,1423,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/15/2021,230,16.3,20.2,400,2555,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/18/2021,238,12.55,16.53,400,2747,14,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/19/2021,440,13,20.2,400,2948,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/20/2021,678,10,21.18,400,2023,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/21/2021,48,16.3,17.18,400,2004,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/22/2021,300,11,16,400,1684,15,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/25/2021,400,11.2,18,400,1570,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/26/2021,436,10,17.16,400,2178,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/27/2021,184,11.54,14.58,400,2370,14,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/28/2021,390,11,17.3,400,2025,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,1/29/2021,390,11.5,16.2,400,1621,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/1/2021,154,12.46,15.2,400,1500,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/2/2021,420,10,17,400,2045,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
second elementray,2/3/2021,480,10,18,400,1313,16,51.5,3.5,3,3,2.5,1,,,,,,,,,,,,
